sentence_id,sentence_text,raw_video_name,raw_video_path,landmark_output_path
S01,Aap_kaise_hain,Aap_kaise_hain_95.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_95.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_95.npy
S01,Aap_kaise_hain,Aap_kaise_hain_60.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_60.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_60.npy
S01,Aap_kaise_hain,Aap_kaise_hain_9.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_9.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_9.npy
S01,Aap_kaise_hain,Aap_kaise_hain_72.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_72.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_72.npy
S01,Aap_kaise_hain,Aap_kaise_hain_91.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_91.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_91.npy
S01,Aap_kaise_hain,Aap_kaise_hain_30.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_30.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_30.npy
S01,Aap_kaise_hain,Aap_kaise_hain_64.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_64.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_64.npy
S01,Aap_kaise_hain,Aap_kaise_hain_65.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_65.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_65.npy
S01,Aap_kaise_hain,Aap_kaise_hain_20.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_20.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_20.npy
S01,Aap_kaise_hain,Aap_kaise_hain_92.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_92.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_92.npy
S01,Aap_kaise_hain,Aap_kaise_hain_33.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_33.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_33.npy
S01,Aap_kaise_hain,Aap_kaise_hain_86.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_86.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_86.npy
S01,Aap_kaise_hain,Aap_kaise_hain_47.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_47.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_47.npy
S01,Aap_kaise_hain,Aap_kaise_hain_83.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_83.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_83.npy
S01,Aap_kaise_hain,Aap_kaise_hain_53.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_53.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_53.npy
S01,Aap_kaise_hain,Aap_kaise_hain_39.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_39.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_39.npy
S01,Aap_kaise_hain,Aap_kaise_hain_89.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_89.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_89.npy
S01,Aap_kaise_hain,Aap_kaise_hain_27.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_27.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_27.npy
S01,Aap_kaise_hain,Aap_kaise_hain_66.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_66.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_66.npy
S01,Aap_kaise_hain,Aap_kaise_hain_13.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_13.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_13.npy
S01,Aap_kaise_hain,Aap_kaise_hain_40.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_40.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_40.npy
S01,Aap_kaise_hain,Aap_kaise_hain_41.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_41.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_41.npy
S01,Aap_kaise_hain,Aap_kaise_hain_10.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_10.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_10.npy
S01,Aap_kaise_hain,Aap_kaise_hain_90.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_90.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_90.npy
S01,Aap_kaise_hain,Aap_kaise_hain_18.avi,/home/ahad/Documents/fyp_dataset/S01_Aap_kaise_hain/Aap_kaise_hain_18.avi,/home/ahad/Documents/fyp_pipeline_outputs/fyp_processed_dataset/normalized_landmarks/S01_Aap_kaise_hain_18.npy
